,Location,Price,Apt Type,Num of Bath,Neighborhood,District
299,"2600 7th Avenue, Apt PHB","4,875",3 Bed,2,"Central Harlem, Harlem", Upper Manhattan
300,"801 Amsterdam Avenue, Apt 10F","3,613",Studio,1,"Manhattan Valley, Upper West Side", Upper Manhattan
301,East 25th Street,"3,495",1 Bed,1,"Rose Hill, Kips Bay", Midtown Manhattan
302,"15 Park Row, Apt 9G","2,655",Studio,1,Financial District, Downtown Manhattan
303,"610 West 42nd Street, Apt S42M...","4,000",Studio,1,Hudson Yards, Midtown Manhattan
304,Prince Street,"4,995",2 Bed,1,NoLita, Downtown Manhattan
305,Prince Street,"5,495",2 Bed,1,NoLita, Downtown Manhattan
306,"109 Eldridge Street, Apt 18","5,593",3 Bed,2,Bowery, Downtown Manhattan
307,"95 Wall Street, Apt 1725","4,094",Studio,1,Financial District, Downtown Manhattan
308,East 3rd Street,"3,499",2 Bed,1,Bowery, Downtown Manhattan
309,W 73rd,"3,800",1 Bed,1,Upper West Side, Upper Manhattan
310,West 13th Street,"3,850",1 Bed,1,West Village, Downtown Manhattan
311,"808 Columbus Ave, Apt 11A","7,942",2 Bed,2,"Manhattan Valley, Upper West Side", Upper Manhattan
312,West 35th Street,"3,725","1 Bed
/ Flex 2",1,Hudson Yards, Midtown Manhattan
313,534 East 14th Street,"2,900",Studio,1,"Alphabet City, East Village", Downtown Manhattan
314,"120 W. 21st, Apt 719","3,892",Studio,1,Chelsea, Midtown Manhattan
315,"330 East 74 Street, Apt 3C","2,200",Studio,1,Upper East Side, Upper Manhattan
316,East 79th Street,"6,300",2 Bed,2,"Yorkville, Upper East Side", Upper Manhattan
317,439 West 48th Street,"3,275",1 Bed,1,Hell's Kitchen, Midtown Manhattan
318,"102 St Marks Place, Apt 14","2,700",Studio,1,East Village, Downtown Manhattan
319,"95 Wall Street, Apt 1005","4,085",Studio,1,Financial District, Downtown Manhattan
320,435 East 79th Street,"8,400",3 Bed,2,"Yorkville, Upper East Side", Upper Manhattan
321,"240 Waverly Place, Apt 53","5,750",2 Bed,1,West Village, Downtown Manhattan
322,E.25th St 3rd Ave *NO-FEE* Wit...,"3,495",1 Bed,1,"Rose Hill, Kips Bay", Midtown Manhattan
323,Broadway,"7,995",2 Bed,2,"Lincoln Square, Upper West Side", Upper Manhattan
324,West 23rd Street & 7th Avenue,"3,100",Studio,1,Chelsea, Midtown Manhattan
325,"Copy of 200 Water Street, Unit...","4,350",1 Bed,1,Financial District, Downtown Manhattan
326,East 1 Street,"5,750",3 Bed,2.5,Bowery, Downtown Manhattan
327,East 1st Street,"5,750",3 Bed,2.5,Bowery, Downtown Manhattan
328,West 23rd Street & 7th Avenue,"3,100",Studio,1,Chelsea, Midtown Manhattan
329,"Copy of 200 Water Street, Unit...","4,350",1 Bed,1,Financial District, Downtown Manhattan
330,"415 East 73 Street, Apt 5E","2,400",Studio,1,Upper East Side, Upper Manhattan
331,"348 East 87 Street, Apt 4B","2,350",Studio,1,"Yorkville, Upper East Side", Upper Manhattan
332,"120 W. 21st, Apt 303","5,302",1 Bed,1,Chelsea, Midtown Manhattan
333,Exchange Place,"2,750",Studio,1,Financial District, Downtown Manhattan
334,East 22nd Street,"3,000",Studio,1,Gramercy Park, Midtown Manhattan
335,47 East 30th Street,"4,200",1 Bed,1,NoMad, Midtown Manhattan
336,"795 Columbus Avenue, Apt PHF","4,054",Studio,1,"Manhattan Valley, Upper West Side", Upper Manhattan
337,"10 Hanover Square, Apt 06I","5,336",1 Bed,1,Financial District, Downtown Manhattan
338,Wall Street & William Street,"6,995",2 Bed,2,Financial District, Downtown Manhattan
339,"95 Wall Street, Apt 1921","4,360",1 Bed,1,Financial District, Downtown Manhattan
340,East 13th Street,"5,150",3 Bed,1,East Village, Downtown Manhattan
341,"660 West 180th Street, Apt 3A","4,200",4 Bed,2,Washington Heights, Upper Manhattan
342,28th Street by 5th Avenue,"10,877",3 Bed,3,NoMad, Midtown Manhattan
343,"401 E 34th St, Apt N21D","6,202",1 Bed,1.5,Murray Hill, Midtown Manhattan
344,East 16th Street,"4,600",1 Bed,1,Gramercy Park, Midtown Manhattan
345,Hudson Yards,"7,495",2 Bed,2,Hudson Yards, Midtown Manhattan
346,"1 Columbus Place, Apt N14A","4,700",1 Bed,1,Hell's Kitchen, Midtown Manhattan
347,"95 Wall Street, Apt 314","4,268",Studio,1,Financial District, Downtown Manhattan
348,West 16th Street,"3,150",Studio,1,Chelsea, Midtown Manhattan
349,West 23rd Street,"2,900",Studio,1,Chelsea, Midtown Manhattan
350,Hudson Yards,"7,495",2 Bed,2,Hudson Yards, Midtown Manhattan
351,"1 Columbus Place, Apt N14A","4,700",1 Bed,1,Hell's Kitchen, Midtown Manhattan
352,East 23rd Street,"3,150",1 Bed,1,"Rose Hill, Kips Bay", Midtown Manhattan
353,"95 Wall Street, Apt 314","4,268",Studio,1,Financial District, Downtown Manhattan
354,"775 Columbus Avenue, Apt 04E","4,512",Studio,1,"Manhattan Valley, Upper West Side", Upper Manhattan
355,East 88th - UES,"16,500",4 Bed,4,Upper East Side, Upper Manhattan
356,"212 East 87 Street, Apt 1D","3,000",1 Bed,1,"Yorkville, Upper East Side", Upper Manhattan
357,West 45th Street,"3,449",Studio,1,Hell's Kitchen, Midtown Manhattan
358,"429 East 73rd Street, Apt 4RE","2,500",1 Bed,1,Upper East Side, Upper Manhattan
359,"594 Amsterdam Avenue, Apt 3E","6,000",4 Bed,1,Upper West Side, Upper Manhattan
360,West 57th Street,"3,895",1 Bed,1,Hell's Kitchen, Midtown Manhattan
361,East 55th Street first avenue...,"4,095",1 Bed,1,"Sutton Place, Midtown East", Midtown Manhattan
362,"95 Wall Street, Apt 2325","4,047",Studio,1,Financial District, Downtown Manhattan
363,Bryant Park,"4,525",1 Bed,1,Murray Hill, Midtown Manhattan
364,"44 Canal Street, Apt 4W","2,500",2 Bed,1,Chinatown, Downtown Manhattan
365,East 13th Street and First Ave...,"4,195",2 Bed,1,East Village, Downtown Manhattan
366,47.5 East 1st Street,"5,295",2 Bed,1,Bowery, Downtown Manhattan
367,95 East 7th Street,"3,775",1 Bed,1,East Village, Downtown Manhattan
368,Orchard Street,"4,295",2 Bed,1,Lower East Side, Downtown Manhattan
369,East 34th Street,"5,800","1 Bed
/ Flex 3",1.5,Murray Hill, Midtown Manhattan
370,10th Avenue,"7,402",2 Bed,2,Hudson Yards, Midtown Manhattan
371,10th Avenue,"6,500","2 Bed
/ Flex 3",2,Hudson Yards, Midtown Manhattan
372,Orchard Street,"4,295",2 Bed,1,Lower East Side, Downtown Manhattan
373,East 34th Street,"5,800","1 Bed
/ Flex 3",1.5,Murray Hill, Midtown Manhattan
374,"222 East 39th Street, Apt 24E","4,100",Studio,1,Murray Hill, Midtown Manhattan
375,412 East 13th Street,"5,295",3 Bed,1,East Village, Downtown Manhattan
376,Gold Street,"4,495","1 Bed
/ Flex 2",1,Financial District, Downtown Manhattan
377,East 44th Street,"7,350",2 Bed,2,"Turtle Bay, Midtown East", Midtown Manhattan
378,300 East 44th Street,"2,550",Studio,1,"Turtle Bay, Midtown East", Midtown Manhattan
379,"401 E 34th St, Apt S27J","4,160",1 Bed,1,Murray Hill, Midtown Manhattan
380,Mulberry Street,"4,795",2 Bed,1,Little Italy, Downtown Manhattan
381,York Avenue,"2,100",Studio,1,"Yorkville, Upper East Side", Upper Manhattan
382,Exchange Place,"2,650",Studio,1,Financial District, Downtown Manhattan
383,Gold Street,"4,060","1 Bed
/ Flex 2",1,Financial District, Downtown Manhattan
384,E 86th St.,"7,350","2 Bed
/ Flex 3",2,"Yorkville, Upper East Side", Upper Manhattan
385,"784 Columbus Avenue, Apt 1T","3,950",3 Bed,1,"Manhattan Valley, Upper West Side", Upper Manhattan
386,E 86th St.,"6,804",2 Bed,2,"Yorkville, Upper East Side", Upper Manhattan
387,474 Ninth Avenue,"3,500",Studio,1,"Garment District, Hudson Yards", Midtown Manhattan
388,Broadway and Wall Street,"6,524",2 Bed,1,Financial District, Downtown Manhattan
389,1 West Street,"3,500",Studio,1,Financial District, Downtown Manhattan
390,Barclay Street,"8,642",2 Bed,2,Tribeca, Downtown Manhattan
391,East 83rd Street,"2,246",Studio,1,"Yorkville, Upper East Side", Upper Manhattan
392,Orchard Street and Rivington,"4,295",2 Bed,1,Lower East Side, Downtown Manhattan
393,"Orchard Street, New York","4,195",2 Bed,1,Lower East Side, Downtown Manhattan
394,Barclay Street,"8,642",2 Bed,2,Tribeca, Downtown Manhattan
395,East 83rd Street,"2,246",Studio,1,"Yorkville, Upper East Side", Upper Manhattan
396,West 72nd Street,"2,200",Studio,1,Upper West Side, Upper Manhattan
397,Wall Street,"4,261",1 Bed,1,Financial District, Downtown Manhattan
398,Sixth Avenue,"3,138",Studio,1,Midtown South, Midtown Manhattan
399,Sixth Avenue,"6,600","2 Bed
/ Flex 4",2,Midtown South, Midtown Manhattan
400,"175 East 96th Street, Apt APT....","3,500",1 Bed,1,"East Harlem, Harlem", Upper Manhattan
401,Gold Street,"4,060","1 Bed
/ Flex 2",1,Financial District, Downtown Manhattan
402,"324 East 83 Street, Apt 1","2,350",Studio,1,"Yorkville, Upper East Side", Upper Manhattan
403,Wall Street,"8,310","3 Bed
/ Flex 5",2.5,Financial District, Downtown Manhattan
404,Lexington Avenue,"2,975",Studio,1,"Turtle Bay, Midtown East", Midtown Manhattan
405,East 31st Street,"6,450","2 Bed
/ Flex 3",2,"Rose Hill, Kips Bay", Midtown Manhattan
406,Eight avenue and West 53rd str...,"5,750",2 Bed,2,"Theater District, Midtown", Midtown Manhattan
407,West 52nd Street,"4,495",2 Bed,1,Hell's Kitchen, Midtown Manhattan
408,W 63rd St @ West End Ave,"4,000",1 Bed,1,"Lincoln Square, Upper West Side", Upper Manhattan
409,"253 West 72nd Street, Apt 910","3,675",1 Bed,1,Upper West Side, Upper Manhattan
410,West 42nd Street,"3,101",Studio,1,Hell's Kitchen, Midtown Manhattan
411,Wall Street,"4,295",Studio,1,Financial District, Downtown Manhattan
412,Wall Street,"8,100","3 Bed
/ Flex 5",2,Financial District, Downtown Manhattan
413,"401 E 34th St, Apt N07L","4,002",1 Bed,1,Murray Hill, Midtown Manhattan
414,Barclay Street,"7,771",2 Bed,1,Tribeca, Downtown Manhattan
415,Murray Street,"7,500",2 Bed,2,Tribeca, Downtown Manhattan
416,West 57th Street (Columbus Cir...,"6,250",2 Bed,2,Hell's Kitchen, Midtown Manhattan
417,37.5 Bedford Street,"3,750",Studio,1,West Village, Downtown Manhattan
418,"1274 5 Avenue, Apt 504","4,250",3 Bed,1,"East Harlem, Harlem", Upper Manhattan
419,"419 East 73rd Street, Apt 5AB","5,000",3 Bed,2,Upper East Side, Upper Manhattan
420,"433 West 21st Street, Apt 8G","8,695",3 Bed,2,"West Chelsea, Chelsea", Midtown Manhattan
421,"407 West 49 Street, Apt 2E","3,600",2 Bed,1,Hell's Kitchen, Midtown Manhattan
422,East 39th Street,"3,400",Studio,1,Murray Hill, Midtown Manhattan
423,East 63rd Street,"4,600",1 Bed,1,Upper East Side, Upper Manhattan
424,"236 East 36th Street, Apt LD","3,600",1 Bed,1,Murray Hill, Midtown Manhattan
425,Wall Street,"3,895",Studio,1,Financial District, Downtown Manhattan
426,East 18th Street,"6,295",3 Bed,1,Gramercy Park, Midtown Manhattan
427,Gold Street,"4,350","1 Bed
/ Flex 2",1,Financial District, Downtown Manhattan
428,West 57th Street,"15,000",1 Bed,1.5,"Theater District, Midtown", Midtown Manhattan
429,Park Row,"2,950",Studio,1,Financial District, Downtown Manhattan
430,Water Street,"6,004",2 Bed,2,Financial District, Downtown Manhattan
431,East 34th Street,"4,395",1 Bed,1,Murray Hill, Midtown Manhattan
432,401 East 88th Street,"4,200",1 Bed,1,"Yorkville, Upper East Side", Upper Manhattan
433,West 36th Street,"14,500",2 Bed,3,Hudson Yards, Midtown Manhattan
434,953 Columbus Avenue,"1,425",Private Room,1,"Manhattan Valley, Upper West Side", Upper Manhattan
435,Wall Street,"3,360",Studio,1,Financial District, Downtown Manhattan
436,"West 42nd Street,","6,430",2 Bed,2,Hell's Kitchen, Midtown Manhattan
437,West 54th Street,"5,911",2 Bed,2,Hell's Kitchen, Midtown Manhattan
438,East 13th Street,"5,195",3 Bed,1,East Village, Downtown Manhattan
439,East 37th Street,"3,900","1 Bed
/ Flex 2",1,Murray Hill, Midtown Manhattan
440,235 West 63 Street,"3,325",1 Bed,1,"Lincoln Square, Upper West Side", Upper Manhattan
441,"120 1st Avenue, Apt 14","4,495",2 Bed,2,East Village, Downtown Manhattan
442,West 14th Street,"5,495",3 Bed,1,West Village, Downtown Manhattan
443,412 East 13th Street,"4,195",2 Bed,1,East Village, Downtown Manhattan
444,Mott Street,"4,295",1 Bed,1,NoLita, Downtown Manhattan
445,East 86th Street,"4,700",1 Bed,1,"Yorkville, Upper East Side", Upper Manhattan
446,East 48th Street third avenue...,"5,000",2 Bed,2,"Turtle Bay, Midtown East", Midtown Manhattan
447,East 9th Street,"4,295",2 Bed,1,East Village, Downtown Manhattan
448,965 Amsterdam Avenue,"1,450",Private Room,1,"Manhattan Valley, Upper West Side", Upper Manhattan
449,East 89th Street,"6,499",2 Bed,2,"Yorkville, Upper East Side", Upper Manhattan
450,"30 Charlton Street, Apt 5G","4,200",1 Bed,1,"Hudson Square, SoHo", Downtown Manhattan
451,West Street,"2,750",Studio,1,Financial District, Downtown Manhattan
452,East 49th Street,"4,075",1 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
453,"360 West 43rd Street, Apt S21D...","5,295",2 Bed,2,Hell's Kitchen, Midtown Manhattan
454,"45 Tiemann Place, Apt 3I","3,300",1 Bed,1,"Morningside Heights, West Harlem, Harlem", Upper Manhattan
455,"212 East 87 Street, Apt 4B","4,000",2 Bed,2,"Yorkville, Upper East Side", Upper Manhattan
456,344 East 18th Street,"6,295",3 Bed,1,Gramercy Park, Midtown Manhattan
457,Sixth Avenue,"5,800","2 Bed
/ Flex 4",1.5,Midtown South, Midtown Manhattan
458,E 13th St,"5,495","3 Bed
/ Flex 4",2,East Village, Downtown Manhattan
459,E.6th St & Avenue B NO-FEE wit...,"5,495",3 Bed,2,"Alphabet City, East Village", Downtown Manhattan
460,Water Street,"5,362",2 Bed,1,Financial District, Downtown Manhattan
461,201 East 35th Street,"3,550","1 Bed
/ Flex 3",1,Murray Hill, Midtown Manhattan
462,West 37th Street,"5,995","2 Bed
/ Flex 3",2,Hudson Yards, Midtown Manhattan
463,"808 Columbus Ave, Apt 04H","8,756",2 Bed,2,"Manhattan Valley, Upper West Side", Upper Manhattan
464,"2100 2nd Avenue, Apt 20A","3,495",3 Bed,1,"East Harlem, Harlem", Upper Manhattan
465,West 55th Street,"4,925",2 Bed,1,Midtown, Midtown Manhattan
466,"808 Columbus Ave, Apt 15E","8,374",2 Bed,2,"Manhattan Valley, Upper West Side", Upper Manhattan
467,199 East 3rd Street,"7,290",4 Bed,2,"Alphabet City, East Village", Downtown Manhattan
468,73 Monroe Street,"3,175",1 Bed,1,Two Bridges, Downtown Manhattan
469,"30 Charlton Street, Apt 4J","3,450",1 Bed,1,"Hudson Square, SoHo", Downtown Manhattan
470,E 39th St,"7,450",3 Bed,2,Murray Hill, Midtown Manhattan
471,West 34 Street,"4,200",Studio,1,Hudson Yards, Midtown Manhattan
472,Beach Street,"7,100",3 Bed,2,Tribeca, Downtown Manhattan
473,West End Avenue,"4,795",1 Bed,1,Upper West Side, Upper Manhattan
474,"1413 2nd Avenue, Apt 4","3,395",1 Bed,1,Upper East Side, Upper Manhattan
475,East 29th Street & Madison,"6,720",2 Bed,2,NoMad, Midtown Manhattan
476,East 18th Street,"6,295",3 Bed,1,Gramercy Park, Midtown Manhattan
477,East 16 Street,"6,495",3 Bed,1,Gramercy Park, Midtown Manhattan
478,715 East 5th Street,"2,950",1 Bed,1,"Alphabet City, East Village", Downtown Manhattan
479,"124 West 60th Street, Apt 24L","5,250",1 Bed,1,"Lincoln Square, Upper West Side", Upper Manhattan
480,Broad Street,"5,650","2 Bed
/ Flex 3",2,Financial District, Downtown Manhattan
481,Water St.,"5,775","2 Bed
/ Flex 4",2,Financial District, Downtown Manhattan
482,715 East 5th Street,"2,950",1 Bed,1,"Alphabet City, East Village", Downtown Manhattan
483,"124 West 60th Street, Apt 24L","5,250",1 Bed,1,"Lincoln Square, Upper West Side", Upper Manhattan
484,East 18th Street,"6,295",3 Bed,1,Gramercy Park, Midtown Manhattan
485,"10 Hanover Square, Apt 23N","4,115",Studio,1,Financial District, Downtown Manhattan
486,John Street & Gold Street,"3,995",1 Bed,1,Financial District, Downtown Manhattan
487,Water Street & John Street,"3,350",Studio,1,Financial District, Downtown Manhattan
488,Wall Street,"3,938","1 Bed
/ Flex 2",1,Financial District, Downtown Manhattan
489,East 25th Street,"3,495",1 Bed,1,"Rose Hill, Kips Bay", Midtown Manhattan
490,"2100 2 Avenue, Apt 12","2,595",1 Bed,1,"East Harlem, Harlem", Upper Manhattan
491,East 33 Street,"3,795",Studio,1,"Rose Hill, Kips Bay", Midtown Manhattan
492,West 11 Street,"4,400",1 Bed,1,West Village, Downtown Manhattan
493,336 West 47th Street,"1,675",Private Room,1,Hell's Kitchen, Midtown Manhattan
494,East 5th street,"2,595",Studio,1,"Alphabet City, East Village", Downtown Manhattan
495,Thompson Street,"3,995",1 Bed,1,SoHo, Downtown Manhattan
496,"801 Amsterdam Avenue, Apt 05C","4,245",1 Bed,1,"Manhattan Valley, Upper West Side", Upper Manhattan
497,"120 W. 21st, Apt 206","5,792",1 Bed,1,Chelsea, Midtown Manhattan
498,250 Mott Street,"4,295",1 Bed,1,NoLita, Downtown Manhattan
499,Fourth Avenue,"5,800",1 Bed,1,Greenwich Village, Downtown Manhattan
500,"801 Amsterdam Avenue, Apt 14E","4,756",1 Bed,1,"Manhattan Valley, Upper West Side", Upper Manhattan
501,"15 Park Row, Apt 9G","2,950",Studio,1,Financial District, Downtown Manhattan
502,E 5th St,"2,995",1 Bed,1,"Alphabet City, East Village", Downtown Manhattan
503,Avenue B,"3,195",1 Bed,1,"Alphabet City, East Village", Downtown Manhattan
504,"120 W. 21st, Apt 206","5,792",1 Bed,1,Chelsea, Midtown Manhattan
505,250 Mott Street,"4,295",1 Bed,1,NoLita, Downtown Manhattan
506,Fourth Avenue,"5,800",1 Bed,1,Greenwich Village, Downtown Manhattan
507,"801 Amsterdam Avenue, Apt 14E","4,756",1 Bed,1,"Manhattan Valley, Upper West Side", Upper Manhattan
508,"15 Park Row, Apt 9G","2,950",Studio,1,Financial District, Downtown Manhattan
509,East 46th Street Lexington Av...,"3,395",1 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
510,"166 2nd Avenue, Apt 12B","3,450",Studio,1,East Village, Downtown Manhattan
511,"685 1st Avenue, Apt 12M","9,600",2 Bed,2,Murray Hill, Midtown Manhattan
512,"421 East 73rd Street, Apt 3R","2,250",Studio,1,Upper East Side, Upper Manhattan
513,Avenue B,"3,195",1 Bed,1,"Alphabet City, East Village", Downtown Manhattan
514,West 34th Street,"4,100",1 Bed,1,"Koreatown, Midtown South", Midtown Manhattan
515,"350 East 76 Street, Apt 5C","2,600",1 Bed,1,Upper East Side, Upper Manhattan
516,West 47th Street and 9th avenu...,"2,475",1 Bed,1,Hell's Kitchen, Midtown Manhattan
517,East 44 Street,"5,325",1 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
518,"8 Spruce Street, Apt 16K","4,000",1 Bed,1,Financial District, Downtown Manhattan
519,West 14th Street,"5,895",3 Bed,1,West Village, Downtown Manhattan
520,Second avenue (Between 31st an...,"2,940",1 Bed,1,"Rose Hill, Kips Bay", Midtown Manhattan
521,"315 East 56 Street, Apt APT 1A...","2,995",1 Bed,1,"Sutton Place, Midtown East", Midtown Manhattan
522,East 13th Street,"3,395",1 Bed,1.5,East Village, Downtown Manhattan
523,Tenth Avenue,"3,495",1 Bed,1,Hell's Kitchen, Midtown Manhattan
524,200 WEST,"5,495",1 Bed,1,Chelsea, Midtown Manhattan
525,"105 W 29th Street, Apt 1 BEDRO...","5,961",1 Bed,1,Chelsea, Midtown Manhattan
526,Gold Street,"4,060","1 Bed
/ Flex 2",1,Financial District, Downtown Manhattan
527,E 95th St,"3,250","1 Bed
/ Flex 2",1,"Yorkville, Upper East Side", Upper Manhattan
528,"95 Wall Street, Apt 703","3,943",Studio,1,Financial District, Downtown Manhattan
529,Broad Street,"5,653","2 Bed
/ Flex 3",2,Financial District, Downtown Manhattan
530,East 55th Street,"6,950",2 Bed,2.5,"Sutton Place, Midtown East", Midtown Manhattan
531,Maiden Lane,"3,458","Studio
/ Flex 2",1,Financial District, Downtown Manhattan
532,Broad Street,"8,995",1 Bed,3,Financial District, Downtown Manhattan
533,"1274 5 Avenue, Apt 504","4,250",3 Bed,1,"East Harlem, Harlem", Upper Manhattan
534,W 53rd St,"2,995",1 Bed,1,Hell's Kitchen, Midtown Manhattan
535,East 64th Street,"7,100",2 Bed,2,Upper East Side, Upper Manhattan
536,Prince Street,"4,295",1 Bed,1,NoLita, Downtown Manhattan
537,Tribeca/Seaport 2 Bed,"7,765",2 Bed,2,Financial District, Downtown Manhattan
538,East 34th street second Avenue...,"4,095",2 Bed,1,Kips Bay, Midtown Manhattan
539,West 42nd Street,"2,955","Studio
/ Flex 1",1,Hell's Kitchen, Midtown Manhattan
540,East 13th Street,"5,495",3 Bed,2,East Village, Downtown Manhattan
541,"666 West End Avenue, Apt 3TV","6,350",2 Bed,2,Upper West Side, Upper Manhattan
542,"470 Lenox Avenue, Apt 14U","2,299",1 Bed,1,"Central Harlem, Harlem", Upper Manhattan
543,"401 E 34th St, Apt S13L","3,869",1 Bed,1,Murray Hill, Midtown Manhattan
544,"401 E 34th St, Apt S12A","7,785",2 Bed,2,Murray Hill, Midtown Manhattan
545,"315 West 33rd Street, Apt 9G","4,105",1 Bed,1,Hudson Yards, Midtown Manhattan
546,John Street,"4,120",1 Bed,1,Financial District, Downtown Manhattan
547,West Street,"4,000","1 Bed
/ Flex 2",1,Financial District, Downtown Manhattan
548,"245 East 19th Street, Apt 5L","7,000","2 Bed
/ Flex 3",2,Gramercy Park, Midtown Manhattan
549,"160 West 73rd Street, Apt 1C","2,600",Studio,1,Upper West Side, Upper Manhattan
